Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2022,"12        ",Male,17,Right-Handed,188,26,188,2,"Rail (Train/Tram/Subway)",35,0.3,46,Tennis,1000,800,500,600,1000,1000,26,"Same length",100,95,"Index finger",June,Fall,Yes,No,Meat,Water,"Social studies",5,10,4,"Yes - broadband connection","Text messaging",165,165,40,40,1,10,2,15,10,10,10,10,0,2,None,"Graduate degree","Rap/Hip hop",Fly,Healthy,"Sports person",Health
USA,NY,2019,"12        ",Female,19,Right-Handed,157,23,161,2,"Rail (Train/Tram/Subway)",20,0.735,39,Swimming,500,800,900,900,1000,1000,23,"Left foot",90,100,"Ring finger",January,Summer,No,No,Meat,Water,Science,8,9,5,"Yes - broadband connection","In person",5,20,3,2,6,12,3,5,7,1,12,0,12,1,"Very little","Undergraduate degree",Pop,"Freeze time",Happy,Actor,Health
USA,NY,2020,"6         ",Female,11,Right-Handed,147,24.1,,1,"Rail (Train/Tram/Subway)",15-20,0.768,0.768,Other,1000,508,369,668,21,21,24.1,"Same length",80,60,"Index finger",October,Fall,No,No,"No favorite",Water,Other,7,5,4,"Yes - broadband connection","In person",0,1,4,1,3,8,3,2,1,1,8,2,0,2,Some,"Undergraduate degree",Other,Invisibility,Healthy,Relative,Other
USA,NY,2019,"10        ",Male,16,Right-Handed,198,35,70,2,"Rail (Train/Tram/Subway)",50,1.534,45,Soccer,1000,1000,1000,1000,1,10,35,"Same length",50,50,"Same length",March,Spring,Yes,No,"No favorite",Water,Art,4,8,4,"Yes - dial-up connection","Cell phone",2,200,2,1,1,1,1,1,1,1,1,1,.5,.5,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,"Musician or singer",Health
USA,NY,2023,"12        ",Female,16,Right-Handed,"168 ",27,157,3,Walk,7,.342,41,Dancing,1000,1000,1000,1000,500,500,27,"Same length",80,80,"Same length",December,Fall,Yes,Yes,Pizza/Pasta,Water,Other,8,10,2,"Yes - other",Other,8,20,15,2,10,8,1,0,3,1,10,10,0,1,"A lot","Graduate degree",Jazz,Fly,Happy,Other,"Wildlife, animals"
USA,NY,2019,"11        ",Female,17,Right-Handed,155,22,153,3,Walk,12,0.408,36,Other,500,350,481,293,852,938,22.4,"Left foot",65,68,"Ring finger",March,Winter,,No,"No favorite",Other,Art,6.5,8,2,"Yes - broadband connection","In person",14,72,6.5,0.2,20,5.5,0,0,0,6,88,4,0,2,"A lot","Graduate degree",Other,"Freeze time",Happy,Other,Environment
USA,NY,2016,"12        ",Male,17,Right-Handed,161,24,164,2,"Rail (Train/Tram/Subway)",40,0.33,46,Bowling,1000,578,615,610,412,406,23,"Right foot",93,99,"Ring finger",May,Spring,No,No,Pizza/Pasta,Water,Science,6,10,2,"Yes - broadband connection","Internet chat or instant messaging",5,5,8,0,30,0,2,0,40,10,50,0,0,0,"A lot",Other,Classical,Telepathy,Happy,Other,Environment
USA,NY,2022,"12        ",Female,17,Ambidextrous,165,22,146,1,"Rail (Train/Tram/Subway)",20,1.095,41,Skateboarding/Rollerblading,481,358,749,235,1000,1000,22,"Same length",7,6.5,"Index finger",March,Fall,Yes,No,Meat,Coffee,Science,8,5,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",25,25,25,50,10,30,7,16,50,50,50,50,10,0,Some,"Graduate degree",Country,Invisibility,Rich,Relative,Religious
USA,NY,2017,"12        ",Female,"17 ",Ambidextrous,157.5,22.86,154.9,1,Bus,20,0.378,36,Soccer,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2019,"10        ",Male,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2022,"12        ",Female,16,Right-Handed,173.5,27,171,1,Walk,17,.357,49,Other,717,604,455,476,642,588,29,"Left foot",98,103,"Ring finger",August,Fall,No,No,Poultry,"Sports drink",History,4,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,45,12,2,28,8,17.5,42,1,20,68,6,0,14,"A lot","Graduate degree","Punk rock",Telepathy,Happy,Relative,"International aid"
USA,NY,2019,"12        ",Female,16,Right-Handed,160,21,160,1,Car,15,.87,53,Golf,1000,1000,1000,1000,700,900,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"6         ",Male,12,Left-Handed,,152,152,1,Bus,34,0.434,54,Bowling,500,750,250,250,900,900,21.6,"Same length",89,63.5,"Same length",March,Summer,Yes,No,Pizza/Pasta,Milk,"Mathematics and statistics",8.5,14,5,"Yes - other","In person",0,50,33,0,3,126,7,10.5,0,1,11.5,0,0,4.5,"Very little","Less than high school",Gospel,"Freeze time",Happy,"Religious figure",Religious
USA,NY,2020,"12        ",Male,17,Right-Handed,80,25.5,183,2,"Rail (Train/Tram/Subway)",40,0.829,49,"Hockey (Field)",1000,1000,1000,1000,460,455,26.5,"Left foot",76,77,"Ring finger",September,Summer,No,No,Salads,Juice,Geography,6.5,8.5,4,"Yes - broadband connection","Text messaging",21,15,8,1,28,4,0,0,20,2,10,4,0,2,"A lot","Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Politician,Environment
USA,NY,2018,"12        ",Male,17,Right-Handed,176.8,27,172.5,1,Car,27,.395,41,Basketball,200,600,500,400,200,900,27,"Right foot",90,90,"Same length",August,Summer,No,No,Desserts,Water,"Physical education",3,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,10,27,0,10,5,20,5,15,5,15,10,0,5,"Very little","Undergraduate degree","Rap/Hip hop",Telepathy,,"Sports person",Health
USA,NY,2012,"7         ",Female,12,Left-Handed,150,21,150,1,Car,8,0.442,58,Baseball/Softball,69,6970,123,69,1000,1000,21,"Same length",70,90,"Ring finger",June,Spring,No,No,Pizza/Pasta,Milk,"Physical education",8,5,4,"Yes - broadband connection","Text messaging",5000,789,36,45,6,2,5,0,24,36,12,5,0,1,None,"Graduate degree",Pop,Fly,Famous,"Musician or singer",Health
USA,NY,2013,"12        ",Male,17,Right-Handed,182,26.7,179,1,"Rail (Train/Tram/Subway)",20,0.367,57,Cycling,754,235,770,770,866,866,26.7,"Same length",98,104,"Ring finger",February,Fall,Yes,No,Meat,Water,Science,6,8,4,"Yes - broadband connection","Internet chat or instant messaging",3,3,10,1,35,30,10,30,30,40,50,0,0,5,Some,"Graduate degree",Other,"Freeze time",Happy,"Business person",Health
USA,NY,2017,"6         ",Male,12,,170,24,25.4,4,Walk,7,,,"Football (American)",700,400,800,300,900,1000,24,,75,89,"Index finger",December,Summer,No,No,Meat,Water,Languages,7,10,7,"Yes - broadband connection","Text messaging",100,90,10,10,24,1,14,10,3,4,5,1,,,"A lot","Graduate degree","Rap/Hip hop","Super strength",Famous,"Sports person",Health
USA,NY,2021,"10        ",Female,15,Right-Handed,"174 ",24,170,2,Car,20,0.11,118,Swimming,100,60,70,50,60,60,24.5,"Left foot",,,,August,Summer,No,No,Pizza/Pasta,Water,History,8,10,5,"Yes - broadband connection","In person",?,?,9,3,9,4,2,0,4,4,6,4,0,1,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Happy,Actor,"International aid"
USA,NY,2019,"8         ",Female,13,Right-Handed,161,24,170,1,Bus,10,0.615,60,Dancing,487,663,353,535,636,775,24,"Same length",80,80,"Same length",October,Summer,Yes,No,"No favorite",Water,Science,7,9,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",28,34,25,10,10,25,8,1,25,10,30,15,0,5,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,"Education/Youth development"
USA,NY,2015,"6         ",Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2017,"6         ",Male,11,Right-Handed,154,"21 ",6,3,Bus,10,7,6,Bowling,0,0,0,0,0,0,22,"Left foot",10,,"Ring finger",July,Summer,No,No,Pizza/Pasta,"Soft drink (non-caffeinated)",Languages,6,6,10,"Yes - broadband connection","Cell phone",0,0,1000,1000,1,1000,99,10000,10000,10000,10000,10000,10000,10000,"Very little","Undergraduate degree","Rock and roll",Fly,Famous,"Coach or club leader",Other
USA,NY,2017,"12        ",Female,16,Right-Handed,157.5,23,152,2,Car,12,.555,44,Soccer,500,400,300,250,600,550,23,"Same length",7.3,7.1,"Index finger",November,Summer,No,No,Pizza/Pasta,Water,Science,7,9,4,"Yes - broadband connection","Text messaging",70,200,15,1,4,10,10,0,1,3,2,6,5,1,Some,Other,Country,Telepathy,Happy,Friend,Health
USA,NY,2023,"12        ",Male,18,Right-Handed,175,25,168,2,"Rail (Train/Tram/Subway)",65,.297,55,Golf,905,748,815,740,875,930,25,"Same length",7.5,7.0,"Index finger",February,Spring,Yes,No,Breads/Sandwiches,Water,History,6,11,4,"Yes - broadband connection","In person",20,45,26,.5,14,22,3,10,8,20,27,0,0,4,Some,"Graduate degree","Rock and roll","Freeze time",Rich,Friend,Environment
USA,NY,2016,"12        ",Female,17,Right-Handed,165.1,,,2,Walk,15,.314,,Basketball,600,1000,900,500,400,800,,"Left foot",75,75,"Index finger",June,Fall,Yes,No,"No favorite",Water,History,7,9,4,"Yes - broadband connection","Text messaging",,,50,3,15,18,12,0,5,5,5,1,0,0,"A lot","Graduate degree",Pop,Fly,Healthy,Relative,Environment
USA,NY,2024,"11        ",Female,16,Right-Handed,147.3,22.86,1.43,2,Bus,75,0.68,54,Swimming,800,800,500,900,300,900,21.15,"Same length",71.1,72,"Ring finger",August,Winter,No,No,"Rice/Noodle dishes",Water,History,4,10,3,"Yes - broadband connection","In person",40,50,12,10,25,30,2,3,25,15,10,5,7,10,"A lot","Graduate degree","Rhythm and blues (R&B)","Freeze time",Rich,Relative,Environment
USA,NY,2020,"12        ",Male,17,Right-Handed,179.0,25.75,175.0,2,Car,5,.268,36,Athletics,1000,1000,945,888,444,750,26,"Left foot",85,80,"Index finger",April,Fall,No,No,Fruit,Water,"Physical education",7.5,8.5,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",88,94,10,2,18,15,16,10,16,4,34,2,15,8,"A lot","Graduate degree",Pop,Telepathy,Happy,Teacher,Environment
USA,NY,2013,"8         ",Female,13,Right-Handed,163,23,161,2,Bus,30,0.767,41,Dancing,900,900,800,700,200,200,23,"Same length",70,75,"Ring finger",May,Summer,No,No,Pizza/Pasta,Milk,"Physical education",8,10,4,"Yes - broadband connection","In person",20,20,4,1,12,4,6,0,3,3,2,5,0,.5,Some,"Graduate degree",Pop,Telepathy,Healthy,Relative,"Arts, culture, sports"
USA,NY,2016,"12        ",Male,18,Ambidextrous,188,28,198,1,"Rail (Train/Tram/Subway)",50,.608,49,Basketball,75,75,75,75,80,80,28,"Same length",10.1,11.6,"Ring finger",February,Summer,No,No,Pizza/Pasta,"Sports drink",History,7,10,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,5,2,0,0,0,6,0,4,0,0,0,0,0,None,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","Education/Youth development"
USA,NY,2017,"6         ",Female,11,Right-Handed,138,22,30,2,"Rail (Train/Tram/Subway)",20,.321,48,Gymnastics,800,800,900,850,700,700,22,"Same length",70,60,"Index finger",September,Winter,No,No,"Rice/Noodle dishes",Water,English,"9 ",11,4,"Yes - broadband connection","Text messaging",19,27,23,2,20,5,7,2,2,4,7,9,0,1,"A lot","Graduate degree",Pop,Fly,Happy,Relative,"Wildlife, animals"
USA,NY,2024,"12        ",Male,17,Right-Handed,195,30,193,1,"Rail (Train/Tram/Subway)",50,.65,30,Basketball,400,700,550,765,860,999,30,"Same length",110,120,"Ring finger",August,Winter,Yes,No,Meat,Water,Science,6,12,3,"Yes - broadband connection","Text messaging",100,150,15,2,10,20,5,2,15,5,50,20,0,4,Some,"Graduate degree","Rap/Hip hop","Super strength",Happy,Relative,Health
USA,NY,2018,"12        ",Male,18,Right-Handed,152.4,21,155,1,Bus,5,.457,44,Athletics,1000,770,775,791,684,1000,21,"Same length",6.5,7.5,"Ring finger",August,Winter,No,No,Pizza/Pasta,"Soft drink (caffeinated)","Physical education",8,8,3,"Yes - other","Internet chat or instant messaging",5,8,3,0,2,0,2,6,1,3,9,0,0,0,"A lot","Some college",Other,"Freeze time",Happy,Friend,Health
USA,NY,2023,"12        ",Female,18,Ambidextrous,160,24,166,2,Walk,30,0.321,.28,Baseball/Softball,1000,800,600,500,0,0,23,"Right foot",7.2,7.5,"Ring finger",March,Fall,Yes,No,"Rice/Noodle dishes","Sports drink",English,6,8,10,"Yes - broadband connection","In person",100,100,40,40,5,5,25,0,15,20,15,2,6,15,"A lot","Less than high school",Other,"Freeze time",Happy,Actor,"International aid"
USA,NY,2017,"12        ",Female,17,Right-Handed,168,20,168,1,Car,8,0.346,40,Soccer,936,893,711,647,262,70,20,"Same length",76,71,"Index finger",August,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,10,4,"Yes - broadband connection","Text messaging",120,100,15,2,7,10,12,0,2,14,2,1,0,1,"Very little","Graduate degree",Country,Fly,Healthy,Relative,"Wildlife, animals"
USA,NY,2019,"5         ",Female,10,Right-Handed,146,"26 cm",150,1,Bus,"5 min",82,49,Soccer,870,860,820,900,800,910,26,"Same length",70mm,75.0,"Ring finger",June,Summer,Yes,No,Fruit,Juice,"Physical education",9,7/8,2,"Yes - broadband connection","In person",5/4,2," 6",1,30min,7,30min,0,2/3,30min,0,10min,15min,30min,"A lot","High school",Pop,Telepathy,Happy,"Sports person",Health
USA,NY,2023,"12        ",Male,15,Right-Handed,167,27,172,1,Bus,7,0.27,29,Baseball/Softball,900,690,700,690,460,560,26,"Right foot",80,80,"Same length",October,Fall,Yes,No,Seafood,Water,Science,7,9,2,"Yes - other","Text messaging",50,50,6,0,8,6,6,2,1,1,6,4,0,2,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person",Health
USA,NY,2019,"12        ",Female,17,Right-Handed,5'3,23cm,166cm,2,"Rail (Train/Tram/Subway)",35,0.703,45,Dancing,300,200,1000,500,100,200,23,"Left foot",70,60,"Index finger",October,Fall,No,No,"No favorite",Water,"Physical education",8,10,5,"Yes - other","Text messaging",9,11,7,12,0,7,0,0,10,10,8,4,6,5,"A lot",Other,"Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,NY,2019,"12        ",Male,17,Right-Handed,167,20.32,168,2,"Rail (Train/Tram/Subway)",25,0.379,46,Soccer,1000,1000,1000,396,0,545,20.32,"Same length",70,70,"Same length",June,Summer,Yes,No,Pizza/Pasta,Water,"Physical education",8,10,3,"Yes - other","Text messaging",25,34,6,3,6,5,3,8,5,3,6,5,6,1,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,Other,Other
USA,NY,2015,"7         ",Female,13,Right-Handed,161,21,154,2,Bus,6,0.299,46,Swimming,500,300,1000,800,1000,1000,22,"Left foot",70,75,"Ring finger",November,Spring,No,No,Fruit,Milk,"Computers and technology",8,6,7,"Yes - other","Text messaging",117,83,4,3,2,1,0.5,6,2,2,8,3,1.5,1.5,Some,"Graduate degree",Classical,Telepathy,Healthy,Relative,"Arts, culture, sports"
USA,NY,2011,"5         ",Male,11,Right-Handed,153,22,141,1,Bus,20,0.281,42,Lacrosse,738,872,1000,,1000,1000,22,"Same length",80,70,"Index finger",November,Winter,No,No,Meat,"Sports drink","Physical education",8,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,20,4,1,3,4,7,7,4,2,4,6,0,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Sports person","Arts, culture, sports"
USA,NY,2023,"12        ",Male,17,Right-Handed,175,26,188,2,Car,5,.128,50,Baseball/Softball,500,500,500,500,750,900,26,"Same length",99,95,"Index finger",April,Spring,No,No,Desserts,Water,"Social studies",7,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,100,10,2,10,2,20,2,20,10,5,1,4,2,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person","Arts, culture, sports"
USA,NY,2019,"10        ",Female,15,Right-Handed,175,23,173,1,Boat,45,0.312,52,Skateboarding/Rollerblading,500,1000,1000,900,0,700,24,"Left foot",7.5,7.5,"Same length",June,Spring,Yes,No,Meat,Water,Other,5,10,4,"Yes - other","Text messaging",249,270,4,20,5,12,2,6,6,11,24,4,5,1,Some,,Techno/Electronic,Fly,Happy,Relative,"Education/Youth development"
USA,NY,2022,"11        ",Female,"15 ",Right-Handed,165SK,24.1,65,2,Car,20,0.41,51.3,None,700,400,500,300,1000,100,,,78.1,76.2,"Index finger",November,Summer,No,No,Pizza/Pasta,Water,Art,7,9,4,"Yes - broadband connection","In person",45,50,10,7,15,9,0,1,20,2,30,1,0,5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Wildlife, animals"
USA,NY,2016,"12        ",Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2018,"5         ",Male,12,Left-Handed,157,30,166,2,Bicycle,40,0.653,92,Basketball,668,1000,1000,1000,824,674,30,"Same length",86,65,"Index finger",May,Summer,Yes,No,Fruit,Coffee,Art,7,7,10,"Yes - other",Other,70,80,70,70,50,90,100,100,40,60,40,100,70,100,Some,"Less than high school",Gospel,Invisibility,Famous,"Business person",Religious
USA,NY,2019,"5         ",,11,,64,64,64,100,Bus,30,20,30,Basketball,0,1000,1000,1000,0,1000,37,"Same length",Same,Same,"Same length",February,Summer,Yes,Yes,Vegetables,"Energy drink","Computers and technology",12,0,3,"Yes - dial-up connection","Internet chat or instant messaging",5,12,1,4,2,1,0,5,,,,,,,,,,,,,"Arts, culture, sports"
USA,NY,2018,"12        ",Female,17,Right-Handed,160,23.8,165.8,2,"Rail (Train/Tram/Subway)",60,.475,41,Dancing,1000,701,273,428,700,1000,25,"Left foot",87,90,"Ring finger",March,Spring,Yes,No,Breads/Sandwiches,Tea,"Mathematics and statistics",6,11,8,"Yes - broadband connection","Text messaging",8,7,2,0,1,4,0,0,20,30,50,7,2,7,"Very little","Graduate degree",Pop,Fly,Happy,Relative,"Education/Youth development"
USA,NY,2024,"11        ",Male,16,Right-Handed,,,,1,Walk,15,0.353,42,Running/Jogging,750,500,150,100,600,400,,,,,,March,Winter,Yes,No,"Rice/Noodle dishes",Water,History,7,8,3,"Yes - broadband connection","Text messaging",10,12,8,1,3,2,,,,,,,,,,,,,,,
USA,NY,2011,"12        ",Female,17,Right-Handed,166,24,167,3,Bus,15,0.307,35,Swimming,400,650,500,,890,1000,24,"Same length",76,73,"Index finger",November,Fall,No,No,"No favorite",Water,Other,6,10,4,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",0,0,8,0.5,20,16,5,5,7,2,35,1,0,4,"Very little","Graduate degree",Pop,Fly,Happy,Friend,"International aid"
USA,NY,2024,"10        ",Male,15,Right-Handed,179,31,183,4,Walk,60,0.692,48,Swimming,0,0,0,0,1000,1000,31,"Same length",100,110,"Ring finger",January,Winter,No,No,Breads/Sandwiches,Water,English,8,5,4,"Yes - broadband connection","In person",30,20,3,10,2,0,3,2,1,1,8,1,0,2,None,"High school",Techno/Electronic,"Freeze time",Rich,Teacher,Other
USA,NY,2018,"12        ",Male,17,Right-Handed,180,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2023,"12        ",Female,17,Right-Handed,169,,,2,"Rail (Train/Tram/Subway)",40,0.722,73,Other,9000,5000,4000,8000,3000,7000,,,,,,October,Spring,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,10,3,"Yes - broadband connection","In person",60,60,9,6,6,3,5,0,7,2,10,3,2,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"International aid"
USA,NY,2021,"10        ",Female,15,Right-Handed,165,24,156,2,Walk,5,0.483,66,Running/Jogging,999,900,950,930,50,100,24,"Same length",71,72,"Ring finger",January,Summer,No,No,Meat,Water,"Mathematics and statistics",8,10,6,"Yes - other","Text messaging",50,60,7,6,9,2,2,0,25,4,27,10,0,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,Actor,Environment
USA,NY,2015,"6         ",Male,12,Left-Handed,153,27,154,1,Bus,60,.375,62,Soccer,500,600,700,600,800,500,28,"Same length",750,570,"Index finger",December,Fall,Yes,No,Meat,Water,"Social studies",8,8,4,"Yes - other","Internet chat or instant messaging",6,5,15,1,4,10,12,15,1,5,5,1,1,3,"Very little","Graduate degree",Classical,Telepathy,Happy,"Business person",Health
USA,NY,2017,"12        ",Male,17,Right-Handed,177.8,25.8,186,2,Car,25,.227,47,Baseball/Softball,850,535,535,123,893,712,268,"Left foot",88.9,93.5,"Ring finger",May,Winter,No,No,Poultry,Water,"Mathematics and statistics",7,10,4,"Yes - broadband connection","In person",119,237,10,1,18,7,3,1,3,1,10,2,4,1,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,"Business person",Environment
USA,NY,2019,"12        ",Female,17,Right-Handed,168,28,162,1,"Rail (Train/Tram/Subway)",60,.316,48,Walking/Hiking,1000,888,781,909,353,600,30,"Left foot",11.9,7.1,"Index finger",September,Summer,No,Yes,Pizza/Pasta,Coffee,History,8,10,2,"Yes - broadband connection","In person",25,75,21,1,.5,4,4,0,0,1,5,10,0,2,None,"Graduate degree","Rock and roll",Fly,Happy,"Community leader or elder",Environment
USA,NY,2017,"6         ",Male,11,Right-Handed,145,24,142,2,Car,10,0.309,52,"Hockey (Ice)",503,225,775,225,0,0,24,"Same length",60,60,"Same length",June,Summer,Yes,No,"Rice/Noodle dishes",Water,Science,6,12,4,"Yes - broadband connection","In person",1,0,2,0,42,10,10,2,0,0,7,3.5,0,0.5,"A lot","Graduate degree",Pop,"Freeze time",Happy,Other,Health
USA,NY,2019,"10        ",Female,15,Right-Handed,168,24.5,168,1,Bus,45,0.386,65,Running/Jogging,1000,995,800,700,200,300,24.5,"Same length","8.4 ",8.2,"Index finger",December,Summer,Yes,No,"Rice/Noodle dishes",Water,Art,7,9,4,"Yes - broadband connection","Text messaging",45,63,20,13,9,10,,,,,,,,,,,,,,,
USA,NY,2022,"10        ",Male,16,Right-Handed,176,26,180,2,Car,40,0.32,43,"Martial Arts",856,412,1000,840,1000,1000,26,"Same length",105,103,"Index finger",May,Fall,No,No,Meat,"Soft drink (non-caffeinated)","Computers and technology",8,10,3,"Yes - other","Internet chat or instant messaging",30,40,0,0,1,2,0,28,25,1,35,40,0,0,Some,"Graduate degree",Other,Fly,Rich,Other,Health
USA,NY,2020,"6         ",Female,12,Right-Handed,156,22,144,1,Bus,8,0.386,51,Lacrosse,500,700,200,50,100,600,22,"Same length",89,89,"Same length",October,Fall,No,No,Meat,Water,"Physical education",7,8,4,"Yes - broadband connection","Text messaging",200,250,10,1,12,7,15,4,5,5,10,4,1,1,"Very little","Graduate degree",Pop,Fly,Famous,Relative,"Arts, culture, sports"
USA,NY,2016,"12        ",Female,17,Right-Handed,155,20,150,1,Car,8,.33,35,Walking/Hiking,797,759,214,545,652,642,21,"Left foot",62,70,"Ring finger",January,Fall,No,No,Seafood,Water,Languages,7,9,3,"Yes - broadband connection","Text messaging",25,24,6,.5,6,3,2,0,6,2,6,6,11,1,"A lot","Graduate degree","Rhythm and blues (R&B)",Invisibility,Rich,Friend,Environment
USA,NY,2019,"12        ",Male,17,Right-Handed,5'10,"24cm ",177cm,2,"Rail (Train/Tram/Subway)","40 ",0.387,"61 ",Basketball,700,800,800,800,500,900,30cm,"Same length",8mm,2/8,"Same length",July,Summer,No,No,"No favorite",Juice,"Physical education","3 ",3,4,"Yes - other","Text messaging",idk,"idk ","2 ",1,1,2,1,3,2,2,2,2,1,2,"Very little","Some college","Rap/Hip hop",Telepathy,Happy,Friend,"Arts, culture, sports"
USA,NY,2016,"12        ",Female,18,Right-Handed,168,24,172,2,"Rail (Train/Tram/Subway)",30,0.751,44,"Martial Arts",700,650,900,900,600,600,24,"Same length",95,102,"Ring finger",May,Spring,No,No,Pizza/Pasta,Juice,"Mathematics and statistics",6,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,150,3,0,25,14,6.5,0,42,60,70,10,10,5,"A lot","Graduate degree",Techno/Electronic,Fly,Happy,Other,"Education/Youth development"
USA,NY,2011,"12        ",Male,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2015,"7         ",Female,12,Right-Handed,152,22,145,1,Bus,85,0.503,58,Gymnastics,706,850,406,770,658,818,22,"Right foot",76,76,"Ring finger",September,Spring,Yes,No,Salads,Water,"Social studies",7,10,5,"Yes - broadband connection","Text messaging",100,45,70,10,7,100,24,3,8,24,2,100,5,10,Some,"Graduate degree",Pop,,Rich,"Sports person",Health
USA,NY,2024,"11        ",Male,16,Right-Handed,182,26,188,2,Car,40,0.175,79,Tennis,1000,1000,1000,1000,1000,1000,26,"Same length",80,82,"Ring finger",July,Spring,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,10,2,"Yes - broadband connection","Internet chat or instant messaging",50,35,7,5,10,6,4,0,20,3,10,1,0,6,Some,"Undergraduate degree","Rhythm and blues (R&B)",Fly,Happy,"Business person","Education/Youth development"
USA,NY,2021,"12        ",Female,17,Left-Handed,157,23,157,1,Walk,15,0.375,41,None,642,684,786,529,861,925,23,"Same length",70,68,"Index finger",August,Summer,No,No,Other,,Art,6,9,4,"Yes - broadband connection","Internet chat or instant messaging",5,20,1,0,4,1,0,4,1,1,6,1,0,2,"A lot","Undergraduate degree","Rock and roll",Fly,Happy,Relative,"Arts, culture, sports"
USA,NY,2018,"11        ",Female,16,Ambidextrous,121.9,23.5,30.48,1,"Rail (Train/Tram/Subway)",90,.239,18,Swimming,500,1000,1000,1000,1000,1000,23.5,"Same length",127,101.6,"Same length",September,Fall,No,No,Meat,Tea,Art,2,8,2,"Yes - broadband connection","Text messaging",47,49,56,7,0,4,4,35,63,63,63,4,0,0,"A lot","Graduate degree","Rock and roll",Fly,Rich,Relative,"Arts, culture, sports"
USA,NY,2019,"12        ",Male,17,Left-Handed,186,28,188,2,"Rail (Train/Tram/Subway)",30-40,31,40,Basketball,0,30,30,30,70,60,27,"Right foot",106,110,"Ring finger",January,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",4,13,7,"Yes - broadband connection","Text messaging",140,130,8,2,4,17,46,5,8,5,13,7,0,50,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,Actor,"International aid"
