Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2016,"6         ",Male,11,Right-Handed,135,20,138,1,Bus,30,.232,55,"Martial Arts",950,809,1000,819,450,900,,"Same length",,,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2016,"12        ",Male,17,Right-Handed,185,27,190,2,"Rail (Train/Tram/Subway)",50,.644,61,Basketball,500,500,500,500,500,900,27,,85,75,"Same length",August,Summer,Yes,No,Meat,Water,"Mathematics and statistics",7,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",15,10,2,2,3,2,1,5,8,3,6,0,9,5,Some,"Graduate degree",Pop,Invisibility,Rich,"Business person","Education/Youth development"
USA,NY,2017,"12        ",Female,16,Right-Handed,168,24,,2,Car,3,0.391,46,Soccer,701,872,278,160,144,118,24,"Same length",,,,November,Spring,Yes,No,"Rice/Noodle dishes",Water,Science,6,10,4,"Yes - other","In person",,,7,6,15,10,4,0,4,5,3,3,8,2,"A lot",Other,"Rap/Hip hop",Fly,Happy,Relative,Health
USA,NY,2021,"10        ",Female,15,Right-Handed,"174 ",24,170,2,Car,20,0.11,118,Swimming,100,60,70,50,60,60,24.5,"Left foot",,,,August,Summer,No,No,Pizza/Pasta,Water,History,8,10,5,"Yes - broadband connection","In person",?,?,9,3,9,4,2,0,4,4,6,4,0,1,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Happy,Actor,"International aid"
USA,NY,2023,"11        ",Male,16,Right-Handed,186,30,87,1,Bus,10,.25,30,Walking/Hiking,800,800,800,900,600,900,30,"Same length",8.5,7.5,"Index finger",November,Fall,No,No,"No favorite",Water,History,9,7,4,"Yes - broadband connection","In person",10,10,50,1,3,4,3,10,5,1,30,10,0,3,"Very little","Some college","Rock and roll","Freeze time",Rich,Other,Environment
USA,NY,2015,"12        ",Female,17,Left-Handed,164,25,172,2,Car,9,.325,43,Walking/Hiking,1000,601,487,503,750,1000,25,"Same length",85,75,"Index finger",September,Summer,No,No,"Rice/Noodle dishes",Juice,Languages,5.5,7.5,4,"Yes - other","Text messaging",200,200,20,2,20,10,5,0,1,35,20,14,16,7,"A lot","Graduate degree",Other,Fly,Happy,Relative,Health
USA,NY,2018,"12        ",Male,17,Right-Handed,164.1,9.8,171,4,"Rail (Train/Tram/Subway)",45,0.441,60,Soccer,500,500,900,900,1000,1000,9.8,"Same length",95,100,"Ring finger",June,Summer,No,No,Poultry,Water,"Computers and technology",7,10,4,"Yes - broadband connection","Internet chat or instant messaging",20,20,3,1,3,3,3,3,1,1,1,1,0,1,Some,"Graduate degree",Pop,"Freeze time",Healthy,Relative,Health
USA,NY,2019,"10        ",Female,16,Right-Handed,156,22,156,"1 1/2",Bus,30-40,0.407,33,Other,300,300,400,500,800,1000,22,"Right foot",7,7,"Same length",January,Summer,Yes,No,Pizza/Pasta,Water,Science,9,7,2,"Yes - broadband connection","Text messaging",50,12,1,1,3,1,1,0,5,1,4,2,0,1,"Very little","Graduate degree",Pop,Telepathy,Rich,Actor,"Education/Youth development"
USA,NY,2023,"12        ",Male,27,Left-Handed,178,27,177,1,Car,30,0.318,47,Walking/Hiking,925,925,925,925,503,503,27,"Same length",35,30,"Index finger",September,Fall,Yes,No,Pizza/Pasta,Water,History,7,7,3,"Yes - broadband connection","Text messaging",2,2,7,0,14,7,7,0,0,1,3,7,28,3,Some,"Undergraduate degree","Rock and roll","Freeze time",Happy,Relative,"Wildlife, animals"
USA,NY,2013,"12        ",Male,18,Right-Handed,172,25.5,173,3,Walk,2,0.4,40,Soccer,900,400,500,600,300,900,25,"Right foot",100,105,"Ring finger",February,Fall,No,No,"Rice/Noodle dishes",Water,History,8,9,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,7,2,20,21,19,3,1.5,1,10,0,0,1,Some,"Graduate degree",Pop,Fly,Happy,Politician,"International aid"
